id,nombres,apellidos,departamento,email
1,Juan,Pérez,Recursos Humanos,juan.perez@empresa.com
2,María,García,Finanzas,maria.garcia@empresa.com
3,Carlos,Sánchez,IT,carlos.sanchez@empresa.com
4,Ana,López,Marketing,ana.lopez@empresa.com
5,Pedro,Rodríguez,Logística,pedro.rodriguez@empresa.com
6,Lucía,Fernández,Recursos Humanos,lucia.fernandez@empresa.com
7,José,Morales,Finanzas,jose.morales@empresa.com
8,Laura,Martínez,IT,laura.martinez@empresa.com
9,Raúl,Ramírez,Marketing,raul.ramirez@empresa.com
10,Elena,Díaz,Logística,elena.diaz@empresa.com
